celsr1b	ZDB-GENE-050823-4
eif4ebp2	ZDB-GENE-031118-83
atad5a	ZDB-GENE-070912-20
CU929339.1	
tymp	ZDB-GENE-100415-1
arhgef9a	ZDB-GENE-070705-271
mrps27	ZDB-GENE-040808-39
ep300b	ZDB-GENE-080403-15
stoml3a	ZDB-GENE-070620-18
CU638702.1	
BX927341.2	
ndufa1	ZDB-GENE-040625-168
CR854942.1	
CR925768.4	
pik3c2a	ZDB-GENE-030328-39
oxgr1b	
fip1l1b	ZDB-GENE-041010-138
slc25a44a	ZDB-GENE-041114-38
nox1	ZDB-GENE-070404-1
CR394542.1	
CR753861.1	
BX548077.1	
si:ch73-347e22.4	ZDB-GENE-140106-269
CR385068.4	
hnrnph3	ZDB-GENE-060421-3878
arl11	ZDB-GENE-030131-3410
BX530067.1	
pdcd5	ZDB-GENE-040426-980
lims2	ZDB-GENE-050522-56
gpr139	ZDB-GENE-050823-2
si:ch1073-358c10.1	
AL928808.1	
itgb1a	ZDB-GENE-060803-2
CR318601.1	
CDK2AP1	
BX088728.2	
znf1161	ZDB-GENE-050420-11
si:dkey-280e21.3	
pde9al	
si:dkey-31f5.8	ZDB-GENE-041210-182
BX901883.4	
pimr176	
si:cabz01090193.1	
adgre7	
ythdf1	ZDB-GENE-040426-2786
rrs1	ZDB-GENE-030131-9345
BX005442.1	
dcakd	ZDB-GENE-060825-226
alg12	ZDB-GENE-041210-295
hey1	ZDB-GENE-000607-70
BX664750.2	
CR387984.1	
CU929070.2	
tbx20	ZDB-GENE-000427-7
lrriq3	
akt1	ZDB-GENE-130730-1
tmtops2a	ZDB-GENE-130129-3
BX469912.8	
nudt15	ZDB-GENE-040625-95
ncaldb	ZDB-GENE-040808-37
bik	ZDB-GENE-041210-181
CR759843.4	
cox18	ZDB-GENE-080204-88
pimr110	ZDB-GENE-041014-282
ypel1	ZDB-GENE-040808-41
gtpbp3	ZDB-GENE-050522-335
BX465227.1	
larp1b	ZDB-GENE-030131-4154
AL954320.1	
vps16	ZDB-GENE-050809-9
BX663516.3	
traj56	
muc5.1	ZDB-GENE-120822-1
ap2a1	ZDB-GENE-090302-2
AL929217.1	
gpatch4	ZDB-GENE-041008-158
arih1	ZDB-GENE-030131-5213
FQ790367.1	
rps24	ZDB-GENE-040109-5
rasa1b	ZDB-GENE-090311-50
mtrex	ZDB-GENE-040426-2854
si:dkey-204f11.13	
crygm2d13	ZDB-GENE-040718-105
dpm3	ZDB-GENE-040426-1782
CU207311.2	
zp3c	ZDB-GENE-060817-5
CR812472.1	
LO018493.2	
CU024870.3	
fam117aa	ZDB-GENE-110606-4
gcshb	ZDB-GENE-040718-319
atp1b1b	ZDB-GENE-001127-4
LO017877.2	
dtd1	ZDB-GENE-040801-175
PLCB2	
csf1ra	ZDB-GENE-001205-1
tmod4	ZDB-GENE-991019-9
cnih4	ZDB-GENE-030131-868
hesx1	ZDB-GENE-990415-130
BX548044.8	
smyd5	ZDB-GENE-040912-39
ccar2	ZDB-GENE-091204-207
BX088696.2	
BX537139.2	
C16H1orf232	
si:dkey-59p5.1	
si:dkey-13n15.2	
si:dkey-54n8.4	
immp1l	ZDB-GENE-070522-4
si:ch211-76m11.15	
nudt1	ZDB-GENE-040426-2757
hdx	ZDB-GENE-140106-165
BX284640.1	
ezh1	ZDB-GENE-050114-1
kdm2aa	ZDB-GENE-061215-144
BX908401.2	
si:zfos-128g4.1	ZDB-GENE-141212-382
tmprss3b	
CT737162.1	
BX323590.4	
cacna1ab	ZDB-GENE-090514-3
sfxn4	ZDB-GENE-050309-187
CU638693.3	
si:ch211-210b2.1	
mfge8a	ZDB-GENE-050327-9
fhl2b	ZDB-GENE-041010-121
BX088538.1	
BX914214.14	
CABZ01060112.1	
hbaa1	ZDB-GENE-980526-79
xylb	ZDB-GENE-040426-1373
AL929029.9	
gadd45ab	ZDB-GENE-040704-60
si:dkey-286h2.3	ZDB-GENE-161014-2
ftr90	
zgc:174354	ZDB-GENE-080218-8
gba3	ZDB-GENE-050522-351
fam234a	ZDB-GENE-091204-17
prickle2a	ZDB-GENE-061110-112
fam98a	ZDB-GENE-091202-6
BX005056.3	
aatka	ZDB-GENE-100812-4
stxbp6l	ZDB-GENE-040724-16
ACKR2	
nphs2	ZDB-GENE-051102-2
slc2a2	ZDB-GENE-030131-1213
slc35e1	ZDB-GENE-040426-2033
si:dkey-77f5.14	
si:ch211-98n17.5	ZDB-GENE-160728-87
ACOT12	
usp12b	ZDB-GENE-100209-4
strn3	ZDB-GENE-030616-405
CABZ01043166.1	
olfcx3	ZDB-GENE-050419-129
BX640584.9	
gabrb2a	ZDB-GENE-030131-8196
fbxl3l	ZDB-GENE-130530-598
CABZ01022569.2	
zgc:165603	ZDB-GENE-070620-21
CR352232.1	
si:ch73-52p7.1	ZDB-GENE-081107-46
eif2s3	ZDB-GENE-030131-5552
BX649282.4	
rpusd4	ZDB-GENE-040801-238
cyp2u1	ZDB-GENE-070730-1
stc2a	ZDB-GENE-041008-14
atp2b3b	ZDB-GENE-080409-2
CT583728.16	
ppp1r14aa	ZDB-GENE-050417-413
BX537288.1	
s100u	ZDB-GENE-030131-3121
si:ch211-269k10.5	ZDB-GENE-131121-638
zgc:77784	ZDB-GENE-040426-1874
CR388145.1	
prep	ZDB-GENE-050522-14
ttc7a	ZDB-GENE-010319-27
CU466278.1	
si:dkey-21a6.5	ZDB-GENE-131121-257
got1l1	ZDB-GENE-060929-556
nhsl2	ZDB-GENE-130530-951
cadm3	ZDB-GENE-060512-196
cpeb4b	ZDB-GENE-170601-167
CABZ01085137.1	
