TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family,max
zic2b_rpl24,0.0,0.0,0.024180286,0.028854715,0.022307916,0.02632948,zic2b,zic,tail_bud
zic2b_srrm2,0.022704955,0.0,0.0,0.0,0.0,0.0,zic2b,zic,tail_bud
zic2b_zgc:174855,0.0,0.021904686,0.024066467,0.0,0.023695743,0.034595307,zic2b,zic,tail_bud
zic2b_marcksb,0.03278565,0.02089259,0.0,0.037501045,0.025167078,0.023399487,zic2b,zic,tail_bud
zic2b_tuba8l4,0.0,0.0,0.0,0.023463931,0.03494357,0.025577867,zic2b,zic,tail_bud
zic2b_egfl6,0.021204751,0.0,0.0,0.0,0.029846124,0.020888379,zic2b,zic,tail_bud
zic2b_greb1l,0.0,0.0,0.0,0.0,0.022874145,0.0,zic2b,zic,tail_bud
zic2b_rpsa,0.03328314,0.036274295,0.0334626,0.04097142,0.04114978,0.030360345,zic2b,zic,tail_bud
zic2b_npm1a,0.036454275,0.04773482,0.040281896,0.06852736,0.040844165,0.030525783,zic2b,zic,tail_bud
zic2b_si:dkey-239j18.2,0.0,0.021408938,0.02105856,0.028121762,0.0,0.0,zic2b,zic,tail_bud
zic4_fn1b,0.0,0.0,0.0,0.0,0.0,-0.024076652,zic4,zic,somites
zic3_fn1b,0.031094976,0.023555445,0.0,0.037358165,0.03451734,0.02241285,zic3,zic,neural_posterior
zic3_histh1l,0.020235851,0.024234455,0.0,0.026210116,0.0378407,0.025883282,zic3,zic,neural_posterior
zic2a_marcksb,0.0,0.029011857,0.029504657,0.0,0.0,0.0,zic2a,zic,neural_posterior
zic2a_szl,0.0,0.0,0.0,0.05413119,0.02596118,0.0,zic2a,zic,neural_posterior
zic2a_npm1a,0.019761372,0.02231659,0.0,0.021882543,0.0,0.0,zic2a,zic,neural_posterior
zic3_npm1a,0.0,0.0,0.0,-0.03141345,0.0,0.0,zic3,zic,neural_posterior
zic3_ctnnb1,0.0,0.0,0.0,0.030454073,0.0,0.0,zic3,zic,neural_posterior
zic3_setb,0.021639198,0.0,0.0,0.0,0.0,0.0,zic3,zic,neural_posterior
zic2a_greb1l,-0.023337882,-0.028688405,0.0,0.0,-0.021854658,0.0,zic2a,zic,neural_posterior
zic3_wif1,0.0,0.0,0.0,0.0,0.022378007,0.021755282,zic3,zic,neural_posterior
zic3_ube2v2,0.020791432,0.0,0.0,0.0,0.0271666,0.0,zic3,zic,neural_posterior
zic3_srrm2,0.0,0.0,0.0,0.0,0.0,0.021814032,zic3,zic,neural_posterior
zic3_egfl6,-0.02833754,0.0,0.0,0.0,0.0,0.024386792,zic3,zic,neural_posterior
zic3_ppig,0.02366526,0.0,0.0,0.0,0.0,0.0,zic3,zic,neural_posterior
zic2a_cnbpb,0.025968174,0.0,0.0,0.0,0.0,0.0,zic2a,zic,neural_posterior
zic3_hoxb7a,0.0,0.0,0.0,0.02268015,0.0,0.0,zic3,zic,neural_posterior
zic3_cnbpb,0.029741343,0.0,0.0,0.0,0.0,0.0,zic3,zic,neural_posterior
zic3_greb1l,0.030708846,0.0,0.0,0.0,0.0,0.0,zic3,zic,neural_posterior
zic3_zgc:174855,0.0,0.0,0.0,0.0,0.0,-0.020551074,zic3,zic,neural_posterior
zic3_kirrel3l,0.0,0.0,0.0,0.0,0.0,-0.02059736,zic3,zic,neural_posterior
zic2a_fn1b,0.0,0.0,-0.03007122,0.0,0.0,0.0,zic2a,zic,neural_posterior
zic3_szl,0.0,0.0,-0.024643242,-0.047700454,0.0,0.0,zic3,zic,neural_posterior
zic2a_tuba8l4,0.0,0.0,0.025093582,0.02208242,0.0,0.0,zic2a,zic,neural_posterior
uncx4.1_sulf1,0.0,0.0,-0.021233737,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_pnrc2,0.019567022,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_eef1g,0.021980688,0.0,0.024608642,0.024561698,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_faua,0.02385966,0.0,0.023545552,0.021253334,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rps6,0.021897126,0.0,0.0,0.02405103,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rpl6,0.0233274,0.0,0.0,0.023106083,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_hspb1,0.022087425,0.022221271,0.0,0.02154086,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rpl23a,0.020038608,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rps24,0.020094931,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_psmb2,0.020613173,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_srrm1,0.019375788,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rpl36a,0.021013688,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_aldoaa,0.0,0.0,0.0,0.021545615,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_cirbpb,0.021382485,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
