TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites
dnmt1_h3f3b.1,0.0,0.026429493,0.0335558,0.0,0.0,0.0
nfatc3a_apoc1,0.0,0.03625932,0.03519746,0.14022197,0.11099899,0.0
nfatc4_apoc1,0.0,0.0,0.063175716,0.106344566,0.047100022,0.0
nfatc3b_her3,0.030943045,0.040258653,0.0,0.0,0.0,0.0
nfatc3a_serpinh1b,0.0,0.0,0.0,0.03770991,0.07610845,0.035870243
nfatc4_serpinh1b,0.0,0.0,0.047608588,0.042992003,0.0,0.02574706
nfatc3a_prickle1b,0.0,0.0,0.030217374,0.037635528,0.038980752,0.0
ets2_apoeb,0.021788491,0.0,0.02330794,0.08688363,0.08877484,0.029632758
ets2_notch1b,-0.021133145,-0.02581788,0.0,0.0,0.0,0.0
ets2_rps9,0.027643327,0.0,0.02732495,0.0,0.0,0.0
ets2_nectin1b,-0.022367084,0.0,0.027135767,0.0,0.0,0.0
ets2_akap12b,0.0,0.0,0.032547966,0.0,0.0,0.028930465
ets2_cirbpa,0.0,0.0,0.023459835,0.0,0.0,0.027360328
rorb_syncrip,0.0,-0.02687146,0.0,0.0,0.0,-0.02685349
rorc_rps16,0.021329021,0.0,0.0,0.03096366,0.0,0.0
rorc_rack1,0.0,0.0,0.0,0.043041006,0.033158567,0.0
rorc_rps9,0.0,0.0,0.0,0.034859102,0.030538786,0.0
rorc_rpl13a,0.0,0.0,0.0,0.03174484,0.029925551,0.0
rorc_apoc1,0.0,0.0,-0.054546557,0.0,-0.05025602,0.0
rorb_apoc1,0.0,0.0,0.030532906,-0.042809464,-0.057559807,0.0
dmrt2a_notch1b,-0.033663783,-0.06105795,0.0,0.0,0.0,0.0
dmrt2a_meis1a,0.0,0.052508637,0.04924865,0.0,0.050101653,0.065036625
dmrt2a_nop58,0.0,0.037851516,0.0,0.037597075,0.045352288,0.0
dmrt2a_magi1b,0.0,0.0,0.0,0.0,0.036207326,0.030190509
dmrt2a_bcam,0.0,0.0,0.0,0.0,0.034607396,0.030674633
dmrt2a_large2,0.02181613,0.0,0.0,0.029634396,0.056805186,0.050762955
dmrt2a_enah,0.0,0.030333402,0.0,0.03474701,0.08269525,0.050004717
ebf3a_notch1b,0.022086155,0.062062927,0.0,0.0,0.0,0.0
ebf2_notch1b,0.036759075,0.036107413,0.0,0.0,0.0,0.0
ebf3a_epha4a,0.020947287,0.031080253,0.0,0.0,0.0,0.0
ebf3a_gse1,0.0,0.0,0.0,0.0,0.030380283,0.034552623
ebf3a_hspb1,0.0,-0.04001194,0.0,0.033856463,0.0,0.0
ebf2_rps4x,0.0,0.0,0.032946445,0.034044348,0.0,0.0
ebf2_hspb1,0.0,0.0,0.028160997,0.03733517,0.032532528,0.0
twist2_dag1,0.022952853,0.03395347,0.0,0.0,0.0,0.0
twist1a_hmgn6,0.0,0.02611039,0.0,0.0,0.032125186,0.0
twist2_rps27l,0.024226725,0.0,0.030286063,0.0,0.0,0.0
twist1a_ctnnb1,0.0,0.0,0.022233818,0.027188295,0.032691665,0.0
twist1a_faua,0.020990593,0.0,0.038108658,0.0,0.038380083,0.0
twist1a_efemp2a,0.0,0.0,0.023745347,0.0,0.031805184,0.0
twist1a_cbx3a,0.0,0.0,0.022908593,0.0,0.03731443,0.0
mafba_apoeb,0.0,0.0,-0.047115788,0.15333815,0.0,-0.035385318
mafba_alcamb,0.0,-0.042342417,0.0,0.0,0.0,0.04226199
mafba_hmga1a,0.0,0.0,0.0,0.039541822,0.0,0.032252602
mafba_sulf1,0.0,0.0,0.0,-0.03430325,-0.04317894,0.0
mafba_rpl34,0.0,0.037858102,0.0,0.0,0.0,0.02655829
mafba_rps15a,0.0,0.03769654,0.0,0.0,0.0,0.026795277
mafba_tenm4,0.045235563,0.029045127,0.034981064,0.0,0.0,0.0
mafba_cyp26c1,0.05303717,0.026787587,0.0,0.0,0.0,0.0
mafba_tmsb4x,0.025674885,0.03237242,0.0,0.0,0.0,0.0
smad3a_mdka,0.041782826,0.0,0.0,0.0,0.05028655,0.07719046
smad3a_fgfrl1a,0.0,0.0,0.0,0.0,0.035471886,0.034145936
smad3a_rpl19,0.043959364,0.0,-0.023517143,0.0,0.0,0.04394096
smad3a_bcam,0.031138038,0.0,0.025082933,0.0,0.0,0.035864845
