TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family
lbx2_rpl24,0.026688848,0.0,0.026214309,0.0,0.0,0.0,lbx2,lbx
lbx2_rpl4,0.021250736,0.0,0.025859844,0.0,0.0,0.0,lbx2,lbx
lbx2_rpl9,0.03570239,0.037101835,0.041935522,0.0,0.027913611,0.0,lbx2,lbx
lbx2_hes6,0.025989616,0.027651886,0.032626275,0.0,0.030418424,0.024926618,lbx2,lbx
lbx2_rps4x,0.023282053,0.03473852,0.032136194,0.0,0.033279736,0.023100091,lbx2,lbx
lbx2_hnrnpub,0.0,0.028619785,0.036730204,0.0,0.0,0.025091887,lbx2,lbx
lbx2_rps18,0.0,0.026826166,0.039068885,0.0,0.0,0.025297377,lbx2,lbx
lbx2_qkia,0.0,0.02565519,0.03778767,0.0,0.0,0.0,lbx2,lbx
lbx2_ptmab,0.0,0.025194645,0.028296541,0.0,0.0,0.0,lbx2,lbx
lbx2_eef1g,0.02328885,0.028569529,0.042127993,0.0,0.0,0.0,lbx2,lbx
lbx2_marcksb,0.022117805,0.026638564,0.028565424,0.0,0.0,0.0,lbx2,lbx
lbx2_rps10,0.021699434,0.028569503,0.03151202,0.0,0.0,0.0,lbx2,lbx
lbx2_prmt1,0.028238935,0.028219756,0.02723455,0.0,0.0,0.0,lbx2,lbx
lbx2_rpl23a,0.025385309,0.026504183,0.025648234,0.0,0.0,0.0,lbx2,lbx
lbx2_rplp2l,0.03286041,0.025438385,0.032076944,0.0,0.0,0.0,lbx2,lbx
lbx2_khdrbs1a,0.0314891,0.02615427,0.029717902,0.0,0.0,0.0,lbx2,lbx
lbx2_rpl7,0.031166412,0.032693785,0.030088758,0.0,0.0,0.0,lbx2,lbx
lbx2_rpl8,0.028659936,0.03256382,0.035834823,0.0,0.0,0.0,lbx2,lbx
lbx2_rpl29,0.0414694,0.0284015,0.029344307,0.0,0.0,0.0,lbx2,lbx
lbx2_rps13,0.038498394,0.029161198,0.04296855,0.0,0.0,0.0,lbx2,lbx
lbx2_ubc,0.032828845,0.036520153,0.0499688,0.0,0.0,0.02084524,lbx2,lbx
lbx2_rps9,0.036799338,0.033530552,0.035501227,0.0,0.0,0.023559354,lbx2,lbx
lbx2_msgn1,0.028896134,0.03491427,0.033457298,0.0,0.0,0.02179265,lbx2,lbx
lbx2_rpl35,0.025865126,0.026578883,0.041579094,0.0,0.0,0.022619655,lbx2,lbx
lbx2_cirbpb,0.031054942,0.030744601,0.042241227,0.0,0.0,0.024194047,lbx2,lbx
lbx2_rps6,0.029463984,0.030420016,0.040779874,0.0,0.0,0.025314592,lbx2,lbx
