TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
klf6a_pleca,0.0,0.0,0.0,0.0,0.0,0.051258784,klf6a,klf,24hpf
klf7b_kcnma1a,0.0,0.0,0.0,0.0,0.032125816,0.0,klf7b,klf,24hpf
klf7b_boc,0.0,0.0,0.0,0.0,0.034814667,0.0,klf7b,klf,24hpf
klf7b_traf4a,0.0,0.0,0.0,0.0,0.025480716,0.0,klf7b,klf,24hpf
klf7b_rbm24a,0.0,0.0,0.0,0.03813505,0.0,0.0,klf7b,klf,24hpf
klf7b_midn,0.0,0.0,0.0,0.038358986,0.0,0.0,klf7b,klf,24hpf
klf7b_si:dkey-172h23.2,0.0,0.0,0.0,0.032254107,0.0,0.0,klf7b,klf,24hpf
klf7b_ryr1b,0.0,0.0,0.0,0.03635421,0.02691986,0.0,klf7b,klf,24hpf
klf7b_robo3,0.0,0.0,0.0,0.039506998,0.03063974,0.0,klf7b,klf,24hpf
klf7b_meis1a,0.0,0.0,0.03223032,0.050971117,0.0,0.0,klf7b,klf,24hpf
klf7b_greb1l,0.0,0.0,0.0,-0.04251844,0.0,0.0,klf7b,klf,24hpf
klf7b_col11a1b,0.0,0.0,0.0,0.0,0.0,0.031171156,klf7b,klf,24hpf
klf7b_krt18a.1,0.0,0.0,0.0,0.0,0.0,0.022158615,klf7b,klf,24hpf
klf7b_emp2,0.0,0.0,0.0,0.0,0.0,0.038721286,klf7b,klf,24hpf
klf6a_emp2,0.0,0.0,0.0,0.0,0.0,0.034730192,klf6a,klf,24hpf
klf1_rpl13a,0.0,0.0,0.0,0.0,0.0,-0.026370704,klf1,klf,24hpf
klf7b_serbp1a,0.0,0.0,0.0,0.0,0.0,-0.026906943,klf7b,klf,24hpf
klf6a_bcam,0.0,0.0,0.0,0.0,0.0,-0.025263282,klf6a,klf,24hpf
klf7b_tpt1,0.0,0.0,0.0,0.0,0.0,-0.022727253,klf7b,klf,24hpf
klf6a_tpt1,0.0,0.0,0.0,0.0,0.0,-0.023206316,klf6a,klf,24hpf
klf7b_pcna,0.0,0.0,0.0,0.0,0.0,-0.02179334,klf7b,klf,24hpf
klf7b_tmsb,0.0,0.0,0.0,0.0,0.0,-0.016906336,klf7b,klf,24hpf
klf7b_mibp2,0.0,0.0,0.0,0.0,0.0,-0.01710229,klf7b,klf,24hpf
klf6a_mibp2,0.0,0.0,0.0,0.0,0.0,-0.017582,klf6a,klf,24hpf
klf1_krt18a.1,0.0,0.0,0.0,0.0,0.0,-0.017711846,klf1,klf,24hpf
klf7b_mef2d,0.0,0.0,0.0,0.105120115,0.04571358,0.0,klf7b,klf,24hpf
klf7b_rxraa,0.0,0.0,0.0,0.0,-0.034741744,0.0,klf7b,klf,24hpf
klf1_cirbpa,0.0,0.0,0.0,0.0,0.0,-0.030345557,klf1,klf,24hpf
klf7b_marcksl1b,0.0,0.0,0.0,0.0,0.0,-0.03161807,klf7b,klf,24hpf
klf1_serbp1a,0.0,0.0,0.0,0.0,0.0,-0.033153452,klf1,klf,24hpf
klf9_large2,0.0,0.0,0.03661584,0.0,0.0,0.0,klf9,klf,14hpf
klf9_her1,0.0,0.0,0.03132692,0.0,0.0,0.0,klf9,klf,14hpf
klf9_enah,0.0,0.0,0.029461667,0.0,0.0,0.0,klf9,klf,14hpf
klf9_gse1,0.0,0.0,0.02914756,0.0,0.0,0.0,klf9,klf,14hpf
klf9_tbx6,0.0,0.0,0.029098257,0.0,0.0,0.0,klf9,klf,14hpf
klf17_id1,0.0,0.022059944,0.0,0.0,0.0,0.0,klf17,klf,12hpf
klf7a_greb1l,0.0,0.0,0.0,0.038184226,0.0,0.0,klf7a,klf,12hpf
klf7a_crabp2b,0.0,0.0,0.0,0.031804617,0.0,0.0,klf7a,klf,12hpf
klf12b_cdh11,0.0,0.0,0.0,0.036351617,0.0,0.0,klf12b,klf,12hpf
klf7a_fgfr3,0.0,0.0,0.0,0.0,0.027335893,0.0,klf7a,klf,12hpf
klf12b_tubb4b,0.0,-0.028092321,0.0,0.0,0.0,0.0,klf12b,klf,12hpf
klf7a_id1,0.0,0.022868356,0.0,0.0,0.0,0.0,klf7a,klf,12hpf
