TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
nkx2.4a_tbx16,0.0,0.0,0.0,0.030032992,0.0,0.0,nkx2.4a,nkx,24hpf
nkx2.4b_pax7a,0.0,0.0,0.0,0.0,0.0,0.011651918,nkx2.4b,nkx,24hpf
nkx2.1_ctdp1,0.0,0.0,0.0,-0.02321754,0.0,0.0,nkx2.1,nkx,24hpf
nkx2.2a_fn1b,0.0,0.0,0.0,-0.022844533,0.0,0.0,nkx2.2a,nkx,24hpf
nkx2.2a_efnb2b,0.0,0.0,0.0,-0.024326399,0.0,0.0,nkx2.2a,nkx,24hpf
nkx2.4b_rpl18,0.0,0.0,0.0,0.0,0.0,0.0063729454,nkx2.4b,nkx,24hpf
nkx2.2a_rps12,0.0,0.0,0.0,0.0,0.0,0.007897889,nkx2.2a,nkx,24hpf
nkx2.1_rpl12,0.0,0.0,0.0,0.0,0.0,0.0063384525,nkx2.1,nkx,24hpf
nkx2.4b_rpl13a,0.0,0.0,0.0,0.0,0.0,0.0126227485,nkx2.4b,nkx,24hpf
nkx2.4b_ncl,0.0,0.0,0.0,0.0,0.0,0.010598563,nkx2.4b,nkx,24hpf
nkx2.1_rps12,0.0,0.0,0.0,0.0,0.0,0.010664419,nkx2.1,nkx,24hpf
nkx2.1_rpl13a,0.0,0.0,0.0,0.0,0.0,0.0107466085,nkx2.1,nkx,24hpf
nkx2.1_pax3a,0.0,0.0,0.0,0.0,0.0,0.010932136,nkx2.1,nkx,24hpf
nkx2.2a_rpsa,0.0,0.0,0.0,0.0,0.0,0.007452281,nkx2.2a,nkx,24hpf
nkx2.4b_rpsa,0.0,0.0,0.0,0.0,0.0,0.010048126,nkx2.4b,nkx,24hpf
nkx2.4b_sox11a,0.0,0.0,0.0,0.0,0.0,0.0094401315,nkx2.4b,nkx,24hpf
nkx2.4b_rps12,0.0,0.0,0.0,0.0,0.0,0.009523104,nkx2.4b,nkx,24hpf
nkx2.4a_rpl13a,0.0,0.0,0.0,0.0,0.0,0.009893238,nkx2.4a,nkx,24hpf
nkx2.2a_rpl13a,0.0,0.0,0.0,0.0,0.0,0.012857644,nkx2.2a,nkx,24hpf
nkx2.4a_pax7a,0.0,0.0,0.0,0.0,0.0,0.013478472,nkx2.4a,nkx,24hpf
nkx2.4a_rpl7a,0.0,0.0,0.0,0.0,0.0,0.0073079127,nkx2.4a,nkx,24hpf
nkx2.4a_hspe1,0.0,0.0,0.0,0.0,0.0,0.007305026,nkx2.4a,nkx,24hpf
nkx2.4a_pax3a,0.0,0.0,0.0,0.0,0.0,0.012280143,nkx2.4a,nkx,24hpf
nkx2.2a_fabp7a,0.0,0.0,0.0,0.0,0.0,0.006899219,nkx2.2a,nkx,24hpf
nkx2.2a_pax3a,0.0,0.0,0.0,0.0,0.0,0.0068123243,nkx2.2a,nkx,24hpf
nkx2.4a_eef1a1l1,0.0,0.0,0.0,0.0,0.0,0.0070685195,nkx2.4a,nkx,24hpf
nkx2.1_fgfrl1a,0.0,0.0,0.0,-0.021540996,0.0,0.0,nkx2.1,nkx,24hpf
nkx2.2b_hmga1a,0.0,0.0,0.0,0.0,0.016740171,0.0,nkx2.2b,nkx,19hpf
nkx2.2b_pcna,0.0,0.0,0.0,0.0,0.01578308,0.0,nkx2.2b,nkx,19hpf
nkx2.2b_fn1b,0.0,0.0,-0.029528445,0.0,0.019245379,0.0,nkx2.2b,nkx,19hpf
nkx2.2b_he1.1,0.0,0.0,0.0,0.0,0.03746674,0.0,nkx2.2b,nkx,19hpf
nkx6.3_apoc1,0.0,0.0,0.0,0.0,-0.024065161,0.0,nkx6.3,nkx,19hpf
nkx2.2b_hoxc3a,0.0,0.0,0.0,0.02906606,-0.015539005,0.0,nkx2.2b,nkx,19hpf
nkx2.2b_rpl13a,0.0,0.0,0.034242615,0.0,0.0,0.0,nkx2.2b,nkx,19hpf
nkx1.2la_sulf1,0.0,0.0,0.029768495,0.0,0.0,0.0,nkx1.2la,nkx,16hpf
nkx6.1_hspb1,0.0,0.025514293,0.0,0.0,0.0,0.0,nkx6.1,nkx,16hpf
nkx1.2la_rpl5b,0.0,0.028369622,0.0,0.0,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_hspb1,0.0,0.0,0.0,0.042554297,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_rps9,0.0,0.022355042,0.0,0.0,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_faua,0.0,0.022803461,0.0,0.0,0.0,0.0,nkx1.2la,nkx,16hpf
nkx6.1_rps16,0.0,0.021104703,0.0,0.0,0.0,0.0,nkx6.1,nkx,16hpf
nkx1.2la_hspe1,0.0,0.0,0.0,0.02224196,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_top2a,0.0,0.0,0.02879144,0.0,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_dld,0.0,0.0,0.027181098,0.0,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_epha2a,0.0,0.0,0.0,0.02294879,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_cirbpa,0.0,0.0,0.0,0.026437173,0.0,0.0,nkx1.2la,nkx,16hpf
nkx6.1_tbxta,0.0,0.0,0.0,0.027063433,0.0,0.0,nkx6.1,nkx,16hpf
nkx1.2la_raraa,0.0,0.0,0.0,0.02560718,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_zeb2a,0.0,0.0,0.0,0.028693203,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_notch1b,0.0,0.0,0.0,0.029214228,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_draxin,0.0,0.0,0.027744485,0.0,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_nucks1a,0.0,0.0,-0.036280707,0.0,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_dlc,0.0,0.0,0.0,-0.022009222,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_gfra4a,0.0,0.0,0.0,-0.026771983,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_nop58,0.0,0.0,0.0,0.0,0.020350512,0.0,nkx1.2la,nkx,16hpf
