TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
cdx4_hmga1a,0.052165404,0.037432507,0.02338012,0.023494508,0.0145647535,0.0039047939,cdx4,cdx,12hpf
cdx4_npm1a,0.041393105,0.037337128,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rpl6,0.050746623,0.038776614,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rpl3,0.048165794,0.054121803,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_ptmab,0.032646928,0.030528279,0.0,0.0,0.0,0.0039059417,cdx4,cdx,12hpf
cdx4_nop56,0.03783053,0.031081654,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rps6,0.025427388,0.03416427,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rpl17,0.026774744,0.028809484,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rpl11,0.033200037,0.020257533,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rpl7,0.036403123,0.022630531,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_cfl1,0.027336808,0.020220231,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_hoxb7a,0.025211742,0.03160934,0.0,0.021582007,0.0,0.0,cdx4,cdx,12hpf
cdx4_rpl34,0.054457814,0.031657703,0.02221093,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rps16,0.04093461,0.03209616,0.024648303,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rpsa,0.03774352,0.023915648,0.031978726,0.0,0.0,0.004790189,cdx4,cdx,12hpf
cdx4_rbm38,0.0,0.022110844,0.035542935,0.03163435,0.0116239255,0.0,cdx4,cdx,12hpf
cdx4_ptgdsb.1,0.0,0.025411904,0.027172484,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_mki67,0.0,0.0,0.022261096,0.0,0.0,0.0048207305,cdx4,cdx,12hpf
cdx4_si:ch73-281n10.2,0.0,0.024899643,0.0,0.0,0.011358538,0.0048851245,cdx4,cdx,12hpf
cdx4_pcna,0.0,0.024953116,0.0,0.0,0.011514051,0.0036943182,cdx4,cdx,12hpf
cdx4_rps2,0.0,0.028523693,0.0,0.0,0.012629581,0.0036278486,cdx4,cdx,12hpf
cdx4_seta,-0.027115213,0.04054881,0.0,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_cd3eap,0.0,0.051199976,0.04269286,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rpl18,0.034279287,0.026554672,0.03247708,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_h3f3d,0.029260332,0.0,0.0,0.0,0.0,0.003783979,cdx4,cdx,12hpf
cdx4_eef1a1l1,0.03876803,0.0,0.0,0.0,0.0123150805,0.0,cdx4,cdx,12hpf
cdx4_hsp90ab1,0.03583349,0.0,0.0,0.02199482,0.011745384,0.0,cdx4,cdx,12hpf
cdx4_dkc1,0.030665882,0.0,0.03952578,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_pnrc2,0.032806724,0.0,0.024024773,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_khdrbs1a,0.04863806,0.0,0.03196111,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rack1,0.037463762,0.038854428,0.107799344,0.0,0.0,0.0,cdx4,cdx,12hpf
msx1b_col18a1a,0.030728584,0.03598722,0.026397767,0.0,0.011402857,0.0,msx1b,msx,14hpf
msx1b_bmpr2b,0.0,0.0,0.026556937,0.021917867,0.0,0.0,msx1b,msx,14hpf
msx1b_zeb2a,0.0,0.0,0.03192722,0.022400541,0.0,0.0,msx1b,msx,14hpf
msx1b_fgf8a,0.0,0.0,0.03742423,0.030056342,0.011979556,0.0,msx1b,msx,14hpf
msx2b_hspa8,0.0,0.0,0.02531356,0.0,0.0,-0.0046402486,msx2b,msx,14hpf
msx2b_hmga1a,0.0,0.0,0.027655566,0.0,0.0,-0.006134494,msx2b,msx,14hpf
msx2b_cirbpa,0.0,0.0,0.030718585,0.0,0.0,-0.0058473926,msx2b,msx,14hpf
msx1b_tll1,0.0,0.030895114,0.029215444,0.0,0.0,0.0,msx1b,msx,14hpf
msx1b_ephb4b,0.0,0.0,0.04811305,0.0,0.020808287,0.0,msx1b,msx,14hpf
